,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Todo De Ti","Rauw Alejandro",653541,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
2,Miénteme,TINI,437474,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
3,"Qué Más Pues?","J Balvin",369430,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
4,"Pareja Del Año","Sebastian Yatra",323876,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
5,"YO SE QUE TU (feat. Rusherking)",FMK,311363,https://open.spotify.com/track/4M4DTyLupKvbJKlE4I4EYq
6,"Te Necesito",KHEA,289178,https://open.spotify.com/track/74UFJflGMdA46TltO7XPSB
7,Am,"Nio Garcia",274044,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
8,2/Catorce,"Rauw Alejandro",261281,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
9,Fiel,"Los Legendarios",254362,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,512,Mora,221134,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
11,"Además de Mí - Remix",Rusherking,207255,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
12,Acaramelao,"Maria Becerra",195129,https://open.spotify.com/track/4fipVdNyG6zx7nxuqHScsy
13,Malbec,Duki,176974,https://open.spotify.com/track/6KEb17S00Inf0v1qYDgUAj
14,"EL MAKINON","KAROL G",174522,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
15,"good 4 u","Olivia Rodrigo",173999,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
16,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,173093,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
17,WACHA,KHEA,162208,https://open.spotify.com/track/5RmSunLqeDqNWww8LWhAiK
18,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",Bizarrap,153039,https://open.spotify.com/track/3ke6it1vTmHtz2ApcIVUz5
19,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",152356,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
20,Bandido,"Myke Towers",147749,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
21,Poblado,Crissin,147604,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
22,Explícito,"Myke Towers",139636,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
23,"Pistola Remix",L-Gante,134773,https://open.spotify.com/track/10cA6m379GINGe7ZF6g3q1
24,"Ella No Es Tuya - Remix","Rochy RD",132797,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
25,Butter,BTS,122442,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq
26,"BLUNTED 5 - Remix","Bruno LC",120022,https://open.spotify.com/track/27t4JURZ1Tv7a3zMfPneAw
27,"Hecha Pa' Mi",Boza,118205,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
28,"Sal y Perrea",Sech,113200,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
29,911,Sech,112953,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
30,"LA NOCHE DE ANOCHE","Bad Bunny",112528,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
31,"Que a Pasao","Big Apple",104548,https://open.spotify.com/track/5s2SRpPmDiYFf0Qu17r9Uk
32,Reloj,"Rauw Alejandro",103814,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
33,"L-Gante Rkt","Papu DJ",102732,https://open.spotify.com/track/4A9u8OrzFYbxdjiydkNdUi
34,"Teca (Remix) [feat. Neo Pistea, Midel, Rei & Zecca]",Asan,102725,https://open.spotify.com/track/4L9WoTpNvdFv8SPW7koxWC
35,Pintao,Duki,100410,https://open.spotify.com/track/0B8yu7yLe1UsXv6gewHRv2
36,"Perrito Malvado","Damas Gratis",99636,https://open.spotify.com/track/1sZ39ZxvFo8FyMz4s7iVlf
37,"Te Mentiría","Luck Ra",99571,https://open.spotify.com/track/5kuidI7QNbpJCB1ObdCPKx
38,"deja vu","Olivia Rodrigo",97007,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
39,Animal,"Maria Becerra",95935,https://open.spotify.com/track/3OXxCquI8i14EigwILaLx9
40,"MONTERO (Call Me By Your Name)","Lil Nas X",95016,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
41,"No Toque Mi Naik","Nicki Nicole",87427,https://open.spotify.com/track/0TBbNYzmtCfN5cpZSCVNIz
42,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",86687,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
43,"No Te Enamores - Remix",Milly,86016,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
44,DÁKITI,"Bad Bunny",85807,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
45,PROBLEMA,"Daddy Yankee",79801,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
46,"Ram Pam Pam","Natti Natasha",79167,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
47,Verte,"Nicki Nicole",77537,https://open.spotify.com/track/2mMZAd3ol9wGI2WJl4XJCF
48,"drivers license","Olivia Rodrigo",77292,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
49,Házmelo,"Tiago PZK",75681,https://open.spotify.com/track/4uiFw0YvHosZT3qRf1QAvs
50,telepatía,"Kali Uchis",71908,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
51,OPA,Dillom,69830,https://open.spotify.com/track/0sukoSvM4zzGnToTabElJI
52,"Levitating (feat. DaBaby)","Dua Lipa",68464,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
53,"Ponte Pa' Mi","Justin Quiles",63663,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
54,"Machu Picchu",Camilo,62581,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
55,"Si Me Tomo Una Cerveza",Migrantes,61682,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
56,"International Love 420",L-Gante,61229,https://open.spotify.com/track/7dpXCztbsLVnkLdcskLgKc
57,traitor,"Olivia Rodrigo",61091,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
58,"Me Fije","Alex Rose",61054,https://open.spotify.com/track/6Et5KimMg3IXwD6lJPGmQw
59,"La Nota","Manuel Turizo",60271,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
60,Polvo,"Nicky Jam",59090,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
61,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",58865,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
62,"Una Locura",Ozuna,58571,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
63,Aloha,Maluma,58217,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
64,BEBÉ,Camilo,57021,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
65,"favorite crime","Olivia Rodrigo",56299,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
66,"Kiss Me More (feat. SZA)","Doja Cat",56284,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
67,Confiesalo,"Maria Becerra",55855,https://open.spotify.com/track/1jtkP2Vj67mcBTXJgIOZsW
68,"Chica Ideal","Sebastian Yatra",55575,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
69,"Tinty Nasty",L-Gante,55459,https://open.spotify.com/track/1e0NatUVfOD9xRgeXSedrl
70,"Chico Estrella",Duki,55449,https://open.spotify.com/track/1XadOBWghF0LhMuXI4GJ6M
